cbtt,pcode,Name,usgs,OWRD,Notes,IDWR,Excel,IdahoPower,nrcs,Updated
PCKY,QD,"PCKY QD - Pacific Creek at Moran, WY",13011500,,"1986-1992,1998,2001-2008 jh",,,,,11/20/2015 BOR\jluna
PDTO,QD,"PDTO QD - Umatilla River at Pendleton, OR",,14021000,"*owrd 1971-1989, 1993-2008 jh",,,,,11/20/2015 BOR\jluna
PECI,QJ,PECI QJ - Peoples Canal,,,Imported successfully back to 1977,13061525,,,,10/25/2013 BOR\jmaxon
PHL,QD,"PHL QD - Mason Dam and Phillips Lake near Sumpter, OR",,13275300,updated through 2012 td,,,,,11/20/2015 BOR\jluna
PHL,QU,"PHL QU - Mason Dam and Phillips Lake near Sumpter, OR",,,"re-ran qu data for 1967-2008, major changes 1967-1983, spotty changes after",,PHL QU,,,
PIHI,QD,"PIHI QD - PORTNEUF RIVER AT POCATELLO, IDAHO",13075500,,,,,,,12/2/2016 BOR\pcooper
PLCI,QJ,PLCI QJ - Palisades Canal,,,Imported successfully back to 1990,13033010,,,,10/25/2013 BOR\jmaxon
PLEI,QD,"PLEI QD - Payette River near Letha, ID",13250000,,2003-2009 jh,,,,,11/20/2015 BOR\jluna
POCI,QJ,POCI QJ - Porter Canal,,,Imported successfully back to 1995,13057250,,,,10/25/2013 BOR\jmaxon
PODO,QU,#N/A,,,,,PODO QU,,,
PRCI,QD,PRCI - NF COEUR D ALENE R AB SHOSHONE CK NR PRICHARD ID,12411000,,,,,,,11/20/2015 BOR\jluna
PRHO,QD,"PRHO QD - Powder River at Hudspeth Lane near Sumpter, OR",,13275105,(owrd 1979-1995) 1995-1999 jh,,,,,11/20/2015 BOR\jluna
PRKI,QJ,PRKI QJ - Parks and Lewisville Canal,,,Imported successfully back to 1977,13038305,,,,10/25/2013 BOR\jmaxon
PRLI,QD,"PRLI QD - South Fork Payette River at Lowman, ID",13235000,,2003-2009 jh,,,,,11/20/2015 BOR\jluna
PRPI,QD,"PRPI QD - Payette River near Payette, ID",13251000,,2003-2009 jh,,,,,11/20/2015 BOR\jluna
PRRO,QD,"PRRO QD - Powder River nr. Richland, OR",,,,,,18906,,11/20/2015 BOR\jluna
PRVO,QD,"PRVO QD - Crooked River near Prineville, OR",,14080500,"owrd 1992-2012, usgs to 1991 td",,,,,8/16/2017 BOR\crunyan
PRVO,QU,"PRVO QU - Crooked River near Prineville, OR",,,"re-ran qu 1983-2008, changes 1999,2000,2003",,PRVO QU,,,
PWDO,QD,"PWDO QD - Powder River at Baker, OR",,13277000,*a few sporadic changes 1981-1996 jh,,,,,11/20/2015 BOR\jluna
PWDO,QU,"PWDO QU - Powder River at Baker, OR",,,updated 1982-2008 differences before 1999,,PWDO QU,,,
RDWI,QJ,RDWI QJ - Reid Canal,,,Imported successfully back to 1977,13038431,,,,10/25/2013 BOR\jmaxon
RECI,QJ,RECI QJ - Reservation Canal at Head,,,Imported successfully back to 1977,13060500,,,,10/25/2013 BOR\jmaxon
REXI,QD,"REXI QD - Henrys Fork near Rexburg, ID",13056500,,2003-2009 jh,,,,,11/20/2015 BOR\jluna
RGCI,QJ,RGCI QJ - Rigby Canal,,,Imported successfully back to 1977,13038180,,,,10/25/2013 BOR\jmaxon
RICI,QJ,RICI QJ - Riverside Canal,,,Imported successfully back to 1977,13061705,,,,10/25/2013 BOR\jmaxon
RIGI,QD,"RIGI QD - Little Salmon River at Riggins, ID",13316500,,"(usgs 1990-1993,1996-1998,2001-2005) 2005-2009 jh",,,,,11/20/2015 BOR\jluna
RIR,QD,"RIR QD - Ririe Dam and Lake near Ririe, ID",13058000,,13057950,,,,,11/20/2015 BOR\jluna
RIR,QU,"RIR QU - Ririe Dam and Lake near Ririe, ID",,,,,RIR QU,,,
RJPI,QJ,RJPI QJ - Ray and John Brown Pump,,,Imported successfully back to 1980,13054111,,,,10/25/2013 BOR\jmaxon
ROMO,QD,"ROMO QD - Owyhee River near Rome, OR",13181000,,2007-2012 td,,,,,11/20/2015 BOR\jluna
RRPI,QJ,RRPI QJ - R. Brent Ricks Pump,,,No Data to compare,13054762,,,,
RSDI,QJ,RSDI QJ - Reservation Canal at Drop,,,Imported successfully back to 2000,13065500,,,,10/25/2013 BOR\jmaxon
RXRI,QJ,RXRI QJ - Rexburg Irrigation Canal,,,Imported successfully back to 1977,13055334,,,,10/25/2013 BOR\jmaxon
SALY,QD,"SALY QD - Salt River above Reservoir near Etna, WY",13027500,,2003-2009 jh,,,,,11/20/2015 BOR\jluna
SBEO,QJ,"SBEO QJ - Columbia Exchange Canal near Hermiston, OR",,14019109,Added to Hydromet 5/10/2012. JRocha,,,,,11/20/2015 BOR\jluna
SCLO,QD,"SCLO QD - Scoggins Creek above Henry Hagg Lake, OR",,14202850,"1976-1996, 2006-2008 jh",,,,,11/20/2015 BOR\jluna
SCOO,QD,"SCOO QD - Scoggins Creek below Henry Hagg Lake, Oregon",,14202980,2002-2006 jh,,,,,11/20/2015 BOR\jluna
SCOO,QU,"SCOO QU - Scoggins Creek below Henry Hagg Lake, Oregon",,,"re-ran qu 2003-2008, major changes in 2003,2006",,SCOO QU,,,
SELI,QD,"SELI QD - SELWAY RIVER NR LOWELL, IDAHO",13336500,,*(usgs 1929-1987) 2001-2009 jh,,,,,11/20/2015 BOR\jluna
SFSI,QD,SFSI QD EF of SF Salmon River at Stibnite ID,13311000,,,,,,,11/20/2015 BOR\jluna
SHYI,QD,"SHYI QD - Snake River near Shelley, ID",13060000,,2003-2009 jh,,,,,11/20/2015 BOR\jluna
SHYI,GAIN,"SHYI GAIN - Snake River near Shelley, ID",13060000,,,,,,,
SIFI,QD,"SIFI QD - Snake River near Idaho Falls, ID",13057155,,1987-2009 jh,,,,,11/20/2015 BOR\jluna
SJNO,QD,"SJNO QD - Snake River at Johnson Bar, OR (Idaho Power)",13290460,,,,,13290460,,
SKHI,QD,"SKHI QD - Snake River at King Hill, ID",13154500,,"(usgs 1908-1976,1979-1987,1990-1992,1996-1997)   1976-1979,1987-1990,1992-1995,1996-2009 jh",,,,,11/20/2015 BOR\jluna
SMNI,QD,"SMNI QD - Salmon River at Salmon, ID",13302500,,"(usgs 1911-1916, 1919-1977,1978-1979, 1996-1997, 2001-2005)   1977-1978,1979-1996,1997-2001,2005-2009 jh",,,,,11/20/2015 BOR\jluna
SNAI,QD,"SNAI QD - Snake River at Blackfoot, ID",13062500,,2003-2009 jh,,,,,11/20/2015 BOR\jluna
SNDI,QJ,SNDI QJ - Sand Creek at Wolverine Road,,,Imported successfully back to 2000,13064500,,,,10/25/2013 BOR\jmaxon
SNYI,QD,"SNYI QD - Snake River at Nyssa, OR (USGS)",13213100,,2003-1009 jh,,,,,11/20/2015 BOR\jluna
SOL,QD,SOL QD - Soldiers Meadow Reservoir,,,no data found,,,,,
SOL,QU,SOL QU - Soldiers Meadow Reservoir,,,"did not re-run qu, no published qd data, qu looks good",,SOL QU,,,
SPDI,QD,"SPDI QD - CLEARWATER RIVER AT SPAULDING, IDAHO",13342500,,2002-2009 jh,,,,,11/20/2015 BOR\jluna
SPPI,QJ,SPPI QJ - Southpipe Pump,,,Imported successfully back to 1990,13053951,,,,10/25/2013 BOR\jmaxon
SQWI,QD,"SQWI QD - Squaw Creek at Sweet, ID",13249195,,,,,13249195,,
SQWI,QD,"SQWI QD - Squaw Creek at Sweet, ID",,,ID Power,,,,,
SRKI,QD,SRKI QD - Snake River at Kimberly,13090000,,,,,,,11/20/2015 BOR\jluna
STFI,QD,STFI QD - Snake River nr Twin Falls ID,13090500,,"usgs data 1910's-1940's, nothing after until recently.  did not import",,,,,11/20/2015 BOR\jluna
STII,QD,"STII QD - S FK CLEARWATER RIVER AT STITES, IDAHO",13338500,,"(usgs 1964-1976,1978-1987) 1976-1978,1987-2008 jh",,,,,11/20/2015 BOR\jluna
SUCI,QJ,SUCI QJ - Salem Union Canal,,,Imported successfully back to 1977,13049805,,,,10/25/2013 BOR\jmaxon
SWAI,QD,SWAI QD - Snake River near Murphy,13172500,,,,,13172500,,11/20/2015 BOR\jluna
SWAI,QD,"SWAI QD - Snake River near Murphy, ID (Idaho Power)",13172500,,2002-2008 jh idaho power/usgs,,,,,
SWBI,QD,"SWBI QD - Sweetwater Creek below Diversion nr Waha, ID",13342250,,2002-2006 sl,,,,,
SWTI,QD,"SWTI QD - Sweetwater Creek at Mouth at Sweetwater, ID",13342340,,2007-2009 jh,,,,,7/12/2017 BOR\KTarbet
TCNI,QJ,TCNI QJ - Twin Falls North Side Canal,,,,13087000,,,,
TCSI,QJ,TCSI QJ - Twin Falls South Side Canal,,,,13087500,,,,
TDA,QD,TDA QD - COLUMBIA RIVER AT THE DALLES,,,MDE,,,,,
TDA,ID,TDA ID - COLUMBIA RIVER AT THE DALLES,,,,,TDA ID,,,
TEAI,QD,"TEAI QD - Teton River near St. Anthony, ID",13055000,,,,,,,11/20/2015 BOR\jluna
Test,test,st marys,5018500,,,,,,,
TGCI,QJ,TGCI QJ - Twin Groves Canal,,,Imported successfully back to 1977,13049710,,,,10/25/2013 BOR\jmaxon
THF,QD,"THF QD - Thief Valley Dam and Reservoir near North Powder, OR",,13285500,(owrd 1978-1980) 1980-1995 jh,,,,,11/20/2015 BOR\jluna
THF,ID,"THF ID - Thief Valley Dam and Reservoir near North Powder, OR",,13285500,,,THF ID,,,
TICI,QJ,TICI QJ - Teton Irrigation Canal,,,Imported successfully back to 1977,13055040,,,,10/25/2013 BOR\jmaxon
TITI,QJ,TITI QJ - Teton Island Feeder Canal,,,Imported successfully back to 1976,13055210,,,,10/25/2013 BOR\jmaxon
TLCI,QJ,TLCI QJ - Texas and Liberty Canal,,,Imported successfully back to 1977,13038434,,,,10/25/2013 BOR\jmaxon
TNCM,QD,"TNCM QD - South Fork Flathead River near Twincreek, MT",12359800,,(usgs 1964-1982) 1984-2008 jh,,,,,11/20/2015 BOR\jluna
TOPI,QD,TOPI QD - PORTNEUF RIVER AT TOPAZ ID,13073000,,,,,,,11/20/2015 BOR\jluna
TRAI,QD,TRAI QD - Trapper Creek nr Oakly ID,13083000,,,,,,,11/20/2015 BOR\jluna
TRCI,QJ,TRCI QJ - Trego Canal,,,Imported successfully back to 1994,13062050,,,,10/25/2013 BOR\jmaxon
TRYO,QD,TRYO QD - GRANDE RONDE RIV AT TROY,13333000,,"(usgs 1990-1992) 1967,1982,1983-1986,1994-2008) jh",,,,,11/20/2015 BOR\jluna
TTNI,QD,TTNI QD,13055198,,,,,,,7/25/2012 BOR\ktarbet
TTXI,QD,"TTXI QD  -S FK TETON RIVER AT REXBURG, IDAHO",13055340,,,,,,,11/20/2015 BOR\jluna
TUMO,QD,TUMO QD - Tumalo Creek blw Tumalo Feed Canal nr Bend,,14073520,,,,,,11/20/2015 BOR\jluna
UMAO,QD,"UMAO QD - Umatilla River near Umatilla, OR",14033500,,1983-2008 jh,,,,,11/20/2015 BOR\jluna
UMDO,QD,"UMDO QD - Umatilla River ar I84 near Stanfield, OR",,14031050,2004-2008 jh,,,,,11/20/2015 BOR\jluna
UMMO,QD,UMMO QD - Umatilla River above Butter Creek nr Hermiston,,14031600,owrd/usgs not found,,,,,9/1/2016 BOR\KTarbet
UMTO,QD,UMTO QD - Umatilla River at City of Hermiston W.W. Treatment P,,14032400,no usgs number,,,,,11/20/2015 BOR\jluna
UMUO,QD,"UMUO QD - Umatilla River nr Echo, OR",,14029900,2005-2008 jh,,,,,11/20/2015 BOR\jluna
UNY,QD,"UNY QD - Unity Reservoir and Burnt River near Unity, Oregon",,13273000,(Owrd 1931-1999) updated through 2012 td,,,,,11/20/2015 BOR\jluna
UNY,QU,"UNY QU - Unity Reservoir and Burnt River near Unity, Oregon",,,"re-ran qu 1960-2008, major changes 1986,2002",,UNY QU,,,
VALO,QD,"VALO QD - Malheur River below Nevada Dam near Vale, OR",13233300,,,,,,,12/2/2016 BOR\KTarbet
VALO,QU,"VALO QU - Malheur River below Nevada Dam near Vale, OR",,,"re-ran qu 2000-2008, major changes 2006,2008",,VALO QU,,,
VLCI,QJ,VLCI QJ - Snake River Valley Canal,,,Imported successfully back to 1977,13059525,,,,10/25/2013 BOR\jmaxon
VSPI,QJ,VSPI QJ - Val Schwiendiman Pump,,,Imported successfully back to 1978,13054705,,,,10/25/2013 BOR\jmaxon
WACI,QJ,WACI QJ - Watson Canal,,,Imported successfully back to 1976,13062506,,,,10/25/2013 BOR\jmaxon
WARO,QD,"WARO QD - Malheur River bel Warm Springs Res nr Riverside, OR",13215000,,"1990-1991, 1996, 2003-2012 td",,,,,11/20/2015 BOR\jluna
WARO,QU,"WARO QU - Malheur River bel Warm Springs Res nr Riverside, OR",,,"re-ran qu 1990-2008, major change 2000",,WARO QU,,,
WAS,QD,"WAS QD - Clear Lake nr Government Camp (Wasco Dam), OR",,,no usgs number,,,,,
WBCI,QD,"WBCI QD - Webb Creek near Sweetwater, ID",13342295,,2008-2009 jh,,,,,11/20/2015 BOR\jluna
WBFI,QJ,"WBFI QC - Willow Creek Below Floodway Channel nr.  Ucon, ID",13058530,,,,,,,5/12/2016 BOR\KTarbet
WCBI,QD,WCBI QD - Webb Creek bel Diversion,,,no usgs number,,,,,
WEII,QD,"WEII QD - Snake River at Weiser, ID (USGS)",13269000,,2003-2009 jh,,,,,11/20/2015 BOR\jluna
WFCI,QJ,WFCI QJ - Wilford Canal,,,Imported successfully back to 1977,13055030,,,,10/25/2013 BOR\jmaxon
WFWI,QD,"WFWI QD - Willow Creek Floodway at Mouth near Idaho Falls, ID",13058529,,,,,,,11/20/2015 BOR\jluna
WGCM,QD,"WGCM QD - Middle Fork Flathead River near West Glacier, MT",12358500,,1983-2008 jh,,,,,11/20/2015 BOR\jluna
WHBI,QD,"WHBI QD - SALMON RIVER AT WHITE BIRD, IDAHO",13317000,,2001-2008 jh,,,,,11/20/2015 BOR\jluna
WICO,QD,"WICO QD - Deschutes River below Wickiup Res., OR",,14056500,(usgs 1991-2008) 1975-1979 jh,,,,,2/19/2016 BOR\KTarbet
WICO,QU,"WICO QU - Deschutes River below Wickiup Res., OR",,,"reran qu 1983-2008, major changes in 2008",,WICO QU,,,
WIFI,QD,"WIFI QD - Sand Creek above Willow Creek Diversion nr Ukon, ID",13058510,,,,,,,11/20/2015 BOR\jluna
WILI,QD,"WILI QD - Willow Creek Floodway Channel nr Ukon, ID",13058520,,1985-2008 jh,,,,,11/20/2015 BOR\jluna
WLDN,QD,"WLDN QD - Owyhee Rvr bel Wildhorse Dam nr Gold Ck,NV (USGS)",13174500,,updated through 2012 td,,,,,11/20/2015 BOR\jluna
WLDN,QU,"WLDN QU - Owyhee Rvr bel Wildhorse Dam nr Gold Ck,NV (USGS)",,,"re-ran qu 1984-2008, no major changes",,WLDN QU,,,
WLWI,QD,"WLWI - QD Willow Creek near Bellevue, ID",13140900,,,,,13140900,,
WLWI,QJ,"WLWI QJ - Willow Creek near Bellevue, ID",,,Error retrieving data,13140900,,,,
WODI,QD,"WODI QD - Little Wood River near Carey, ID",13148500,,updated through sep 2013 td,,,,,12/2/2016 BOR\pcooper
WODI,QU,"WODI QU - Little Wood River near Carey, ID",,,"re-ran qu 2005-2009, some changes in 2008",,WODI QU,,,
WSLO,QD,"WSLO QD - Tualatin River near West Linn, OR",14207500,,2002-2008 jh,,,,,11/20/2015 BOR\jluna
WSRI,QD,WSRI QD - WEISER R NR WEISER,13266000,,2002-2008 jh,,,,,11/20/2015 BOR\jluna
WTXI,QD,"WTXI QD - Willow Creek below Tex Creek near Ririe, ID",13057940,,"1985-1992, 2001-2008 jh",,,,,11/20/2015 BOR\jluna
WVCI,QJ,WVCI QJ - Woodville Canal,,,Imported successfully back to 1994,13059505,,,,10/25/2013 BOR\jmaxon
YOKO,QD,"YOKO QD  - Umatilla River at Yoakum, OR",,14026000,,,,,,11/20/2015 BOR\jluna
YOKO,QD,"YOKO QD - Umatilla River at Yoakum, OR",14026000,,1969-1991 jh,,,,,
