siteid,description,state,latitude,longitude,elevation,timezone,install,horizontal_datum,vertical_datum,vertical_accuracy,elevation_method,tz_offset,active_flag,type,responsibility,agency_region
bvtb,BEAVERHEAD RIVER NR TWIN BRIDGES; MT,MT,45.38361,-112.45194,,,,,,0,,,,stream,,GP
bwne,BLACKWOOD WASTEWAY; NEBRASKA,NE,40.30555,-100.85611,,,,,,0,,,,canal,,GP
caawne,CAMBRIDGE CANAL; WASTEWAY; ALMA; NEBRASKA,NE,40.11722,-99.41583,,,,,,0,,,,canal,,GP
caballo,CABALLO RESERVOIR,NM,32.8847,-107.2919,4172.44,US/Mountain,,,,0,,,,reservoir,,UC
cabm,MISSOURI RIVER; CENTRAL AVE BRIDGE; GREAT FALLS; MT,MT,47.50694,-111.31195,,,,,,0,,,,stream,,GP
camille,Camille; Alec Jr.,AZ,32.88,-114.46,,US/Mountain,,,,0,,,,diversion,,LC
campjacksonswe,CAMP JACKSON,UT,37.8,-109.4833,8600,US/Mountain,,,,0,,,,snotel,,UC
cane,CALAMUS RESERVOIR (VIRGINIA SMITH DAM); NEBRASKA,NE,41.82722,-99.21972,,,,,,0,,,,reservoir,NKAO,GP
canonlargonrblanco,CANON LARGO NR BLANCO;NM,NM,36.69,-107.7558,0,US/Mountain,,,,0,,,,stream,,UC
canw,CANYON; WYOMING,WY,41.26722,-106.74528,7940,,,,,0,,,,snotel,,GP
caoxne,CAMBRIDGE CANAL AT OXFORD; NEBRASKA,NE,40.25111,-99.63694,,,,,,0,,,,canal,,GP
cap,CAP Canal Export,AZ,34.2889,-114.1031,,US/Mountain,,,,0,,,,diversion,,LC
carconco,CARTER CONDUIT FLOW METER; COLORADO,CO,40.58889,-105.37334,,,,,,0,,,,diversion,,GP
cardivco,CARTER DIVERSION/BYPASS; COLORADO,CO,39.36666,-106.54444,,,,,,0,,,,diversion,,GP
care,NORTH FORK RED RIVER NEAR CARTER; OKLAHOMA,OK,35.16806,-99.50694,,,,,,0,,,,stream,,GP
carterco,CARTER LAKE RESERVOIR NEAR LOVELAND; CO,CO,40.32417,-105.21194,,,,,,0,,,,reservoir,ECAO,GP
cascade2swe,CASCADE #2,CO,37.6667,-107.8,8920,US/Mountain,,,,0,,,,snotel,,UC
cascademountainswe,CASCADE MOUNTAIN,UT,40.28,-111.609,7768,US/Mountain,,,,0,,,,snotel,,UC
cascadeswe,CASCADE,CO,37.65,-107.8,8880,US/Mountain,,,,0,,,,snotel,,UC
casm,MISSOURI RIVER BRIDGE AT CASCADE; MT,MT,47.26944,-111.69222,,,,,,0,,,,stream,,GP
casperwy,CASPER; WY,WY,42.73333,-106.31667,7850,,,,,0,,,,snotel,,GP
castlevalleyswe,CASTLE VALLEY,UT,37.75,-112.7333,9580,US/Mountain,,,,0,,,,snotel,,UC
causey,CAUSEY RESERVOIR,UT,41.173,-111.35,5692,US/Mountain,,,,0,,,,reservoir,,UC
cawne,CAMBRIDGE CANAL; WASTEWAY; ORLEANS; NEBRASKA,NE,40.14389,-99.46194,,,,,,0,,,,canal,,GP
cawy,CASPER CANAL; WYOMING,WY,42.73333,-106.64417,,,,,,0,,,,canal,,GP
cbcm,CUT BANK CREEK AT CUT BANK; MT,MT,48.63334,-112.34612,,,,,,0,,,,stream,,GP
cbkm,CUT BANK CREEK NEAR BROWNING; MT,MT,48.61666,-113.035,,,,,,0,,,,stream,,GP
cbks,CEDAR BLUFF RESERVOIR NR ELLIS; KANSAS,KS,38.79,-99.72028,,,,,,0,,,,reservoir,NKAO,GP
ccdt,CHOKE CANYON RESERVOIR NEAR THREE RIVERS; TEXAS,TX,28.46667,-98.16666,,,,,,0,,,,reservoir,OTAO,GP
ccfrne,CENTER CREEK AT FRANKLIN; NEBRASKA,NE,40.09167,-98.96611,,,,,,0,,,,stream,,GP
cch,Cachuma Lake And Bradbury Dam; Cachuma Project,CA,34.583,-119.98,781,US/Pacific,,,,0,,,,reservoir,,MP
ccks,CAWKER CITY DIKE; KANSAS,KS,39.49889,-98.44056,,,,,,0,,,,reservoir,,GP
ccne,COURTLAND CANAL; MILE 0.7; NEBRASKA,NE,40.05972,-98.36917,,,,,,0,,,,canal,,GP
ccp,Contra Costa Pumping Plant,CA,37.8833,-121.577,0,US/Pacific,,,,0,,,,diversion,,MP
ccr,CLARK CANYON RESERVOIR; BEAVERHEAD RVR NR DILLON; MT,MT,45.00167,-112.8575,,,,,,0,,,,reservoir,MTAO,GP
ccrw,CASTLE CREEK; WYOMING,WY,43.66667,-109.38333,8400,,,,,0,,,,snotel,,GP
ccwy,CHERRY CREEK DRAIN; WYOMING,WY,42.03944,-104.16861,,,,,,0,,,,canal,,GP
cdai,Coeur d'Alene Fairgrounds; Idaho Weather Station,ID,47.71797,-116.78418,620,US/Pacific,,,m,0,agrimet_map,,,agrimet,pnro,PN
cdcy,CODY CANAL SOUTH FORK OF SHOSHONE RIVER; WYOMING,WY,43.23167,-108.89444,,,,,,0,,,,canal,,GP
cdne,CAMBRIDGE DIVERSION; NEBRASKA,NE,40.28528,-100.12083,,,,,,0,,,,diversion,,GP
cedc,Cedarville; California AgriMet Weather Station,CA,41.58527,-120.17138,1402.08,US/Pacific,4/1/1985,,m,0,agrimet_map,,,agrimet,pnro,PN
cedu,UCC - Cedar City; Utah Weather Station,UT,37.67296667,-113.1371667,1685.2392,US/Mountain,,,m,0,agrimet_map,,,agrimet,ucc,PN
cegm,ST. MARY CANAL AT EMMIGRANT GAP; MONTANA,MT,48.94639,-113.09528,,,,,,0,,,,canal,,GP
cementcreekatsilverton,CEMENT CREEK AT SILVERTON; CO,CO,37.8197,-107.6631,9380,US/Mountain,,,,0,,,,stream,,UC
cfbm,CLARKS FORK YELLOWSTONE RIVER NEAR BELFRY; MT,MT,45.01028,-109.06473,,,,,,0,,,,stream,,GP
cfr,CANYON FERRY LAKE NEAR HELENA; MONTANA,MT,46.64917,-111.7275,,,,,,0,,,,reservoir,MTAO,GP
cfrsat,CANYON FERRY LAKE NEAR HELENA; MONTANA,MT,46.64917,-111.7275,,,,,,0,,,,reservoir,,GP
chacorivernearwaterflow,CHACO RIVER NEAR WATERFLOW ; NM,NM,36.7244,-108.5908,4980,US/Mountain,,,,0,,,,stream,,UC
chacorivernrburnham,CHACO RIVER NR BURNHAM; NM,NM,36.3658,-108.5658,0,US/Mountain,,,,0,,,,stream,,UC
chacowashatchacocanyonnationalmonument,CHACO WASH AT CHACO CANYON NATIONAL MONUMENT,NM,36.0286,-107.9178,0,US/Mountain,,,,0,,,,stream,,UC
chacowashatebatchacocanyonnatlmonnm,CHACO WASH AT EB AT CHACO CANYON NATL MON NM,NM,36.02,-107.8511,0,US/Mountain,,,,0,,,,stream,,UC
chacowashnrpbatbridgeatchaconatlmon,CHACO WASH NR PB AT BRIDGE AT CHACO NATL MON,NM,36.0542,-107.9644,0,US/Mountain,,,,0,,,,stream,,UC
chacowashnrstarlaketradingpost,CHACO WASH NR STARLAKE TRADING POST; NM,NM,35.9353,-107.5275,0,US/Mountain,,,,0,,,,stream,,UC
chalkcreek1swe,CHALK CREEK #1,UT,40.85,-111.0667,9100,US/Mountain,,,,0,,,,snotel,,UC
chalkcreek2swe,CHALK CREEK #2,UT,40.9,-111.0667,8200,US/Mountain,,,,0,,,,snotel,,UC
chamitaswe,CHAMITA,NM,36.95,-106.65,8400,US/Mountain,,,,0,,,,snotel,,UC
chaw,Chamokane; Washington AgriMet Weather Station,WA,48.03138,-117.73916,594.36,US/Pacific,11/27/2007,,m,0,agrimet_map,,,agrimet,pnro,PN
cheney,CHENEY DAM; KANSAS,KS,37.72611,-97.79389,,,,,,0,,,,reservoir,,GP
cheny,Cheny Dam,KS,37.7261,-97.7939,,,,,,0,,,,reservoir,OTAO,GP
chepetaswe,CHEPETA,UT,40.7667,-110,10300,US/Mountain,,,,0,,,,snotel,,UC
cherrycreeknearredmesa,CHERRY CREEK NEAR RED MESA; CO.,CO,37.1189,-108.1981,6466.47,US/Mountain,,,,0,,,,stream,,UC
chmbrsco,CHAMBERS LAKE; CO,CO,40.60333,-105.85139,,,,,,0,,,,reservoir,ECAO,GP
chpdivco,CHAPMAN CREEK DIVERSION/BYPASS; COLORADO,CO,39.26305,-106.63028,,,,,,0,,,,diversion,,GP
chvo,Christmas Valley; Oregon AgriMet Weather Station,OR,43.24138,-120.72805,1312.16,US/Pacific,4/1/1985,,m,0,agrimet_map,,,agrimet,pnro,PN
cibolanationalwildliferefuge,Cibola National Wildlife Refuge,AZ,33.3,-114.6,,US/Mountain,,,,0,,,,diversion,,LC
cibolavalleyirrigationdistrict,Cibola Valley Irrigation District,AZ,33.4,-114.6,,US/Mountain,,,,0,,,,diversion,,LC
cimarronrivernearcimarron,CIMARRON RIVER NEAR CIMARRON; CO,CO,38.2572,-107.5461,8641.48,US/Mountain,,,,0,,,,stream,,UC
cinw,CINNABAR PARK; WYOMING,WY,41.01778,-106.01778,9574,,,,,0,,,,snotel,,GP
cityofblythe,City of Blythe,CA,34.1,-114.3,,US/Pacific,,,,0,,,,diversion,,LC
cityofbouldercityathooverdam,City of Boulder City at Hoover Dam,NV,36.01,-114.73,,US/Pacific,,,,0,,,,diversion,,LC
cityofhendersonsaddleisland,City of Henderson - Saddle Island,NV,36.05,-114.8,,US/Pacific,,,,0,,,,diversion,,LC
cityofneedles,City of Needles,CA,34.7,-114.5,,US/Pacific,,,,0,,,,diversion,,LC
cityofnorthlasvegas,City of North Las Vegas,NV,36.08,-114.8,,US/Pacific,,,,0,,,,diversion,,LC
cityofwinterhaven,City of Winterhaven,CA,32.75,-114.75,,US/Pacific,,,,0,,,,diversion,,LC
cityofyuma,City of Yuma,AZ,32.87,-114.48,,US/Mountain,,,,0,,,,diversion,,LC
cjdw,Chief Joseph Dam; Washington AgriMet Weather Station,WA,47.99083,-119.63555,301.75,US/Pacific,4/15/2002,,m,0,agrimet_map,,,agrimet,pnro,PN
ckvy,Cokeville; Wyoming AgriMet Weather Station,ID,42.077831,-110.95611,1887,US/Mountain,3/9/2015,,m,0,agrimet_map,,,agrimet,pnro,PN
claforco,CACHE LA POUDRE RIVER AT FORT COLLINS; CO,CO,40.58916,-105.06917,,,,,,0,,,,stream,,GP
claftcco,CACHE LA POUDRE RVR @ CANYON MOUTH NR FT COLLINS; CO,CO,40.66445,-105.22389,,,,,,0,,,,stream,,GP
claytonspringsswe,CLAYTON SPRINGS,UT,37.97,-111.8332,10000,US/Mountain,,,,0,,,,snotel,,UC
clc,Colorado River at Cibola Gage,AZ,33.2322,-114.6817,214.5,US/Mountain,,,,0,,,,stream,,LC
clck,CLEAR CREEK NEAR CHINOOK; MONTANA,MT,48.58916,-109.40166,,,,,,0,,,,stream,,GP
clcm,COLE CREEK; MONTANA,MT,45.2,-109.35,7850,,,,,0,,,,snotel,,GP
clearcreek1swe,CLEAR CREEK #1,UT,39.8667,-111.2833,9200,US/Mountain,,,,0,,,,snotel,,UC
clearcreek2swe,CLEAR CREEK #2,UT,39.8833,-111.2667,8300,US/Mountain,,,,0,,,,snotel,,UC
clmt,MISSOURI RIVER NEAR CULBERTSON; MT,MT,48.12333,-104.475,,,,,,0,,,,stream,,GP
closedbasincanal,CLOSED BASIN PROJECT CANAL NEAR ALAMOSA,CO,37.48,-105.77,,US/Mountain,,,,0,,,,canal,,UC
clvm,CALVERT CREEK; MONTANA,MT,45.88334,-113.33334,6430,,,,,0,,,,snotel,,GP
cmbm,ST. MARY CANAL AT MARTIN'S BRIDGE; NEAR BABB; MT,MT,48.91361,-113.20305,,,,,,0,,,,canal,,GP
cmdm,CLOVER MEADOW; MONTANA,MT,45.01667,-111.85,8800,,,,,0,,,,snotel,,GP
cmo,LAKE COMO RESERVOIR,MT,46.06111,-114.23333,,,,,,0,,,,reservoir,,GP
coachellavalleywaterdistrict,Coachella Valley Water District,CA,32.87,-114.48,,US/Pacific,,,,0,,,,diversion,,LC
cobb,FORT COBB DAM; OKLAHOMA,OK,35.15778,-98.45638,,,,,,0,,,,reservoir,OTAO,GP
cobc,COBB CREEK NEAR EAKLY; OKLAHOMA,OK,35.28333,-98.59389,,,,,,0,,,,stream,,GP
cochetopacreekbelowrockcreek,COCHETOPA CREEK BELOW ROCK CREEK; NEAR PARLIN; CO,CO,38.3356,-106.7717,8470,US/Mountain,,,,0,,,,stream,,UC
cochetopapassswe,COCHETOPA PASS,CO,38.168,-106.498,10020,US/Mountain,,,,0,,,,snotel,,UC
cochitieastsidemaincanalatcochiti,COCHITI EAST SIDE MAIN CANAL AT COCHITI,NM,35.6172,-106.3239,,US/Mountain,,,,0,,,,diversion,,UC
cochitireservoir,COCHITI LAKE,NM,35.6282,-106.3172,,US/Mountain,,,,0,,,,reservoir,,UC
cocopahindianreservation,Cocopah Indian Reservation,AZ,32.87,-114.48,,US/Mountain,,,,0,,,,diversion,,LC
codywy,ARCHIVE DATA REPOSITORY FOR SHOSHONE CANALS; WY,WY,44.50139,-109.18333,5360,,,,,0,,,,canal,,GP
colcamco,COLORADO RIVER NEAR CAMEO; CO (CCAC),CO,39.23889,-108.26667,,,,,,0,,,,stream,,GP
colditco,COLUMBINE DITCH; COLORADO,CO,39.37361,-106.22723,,,,,,0,,,,canal,,GP
coldotco,COLORADO RIVER NEAR DOTSERO; EAGLE COUNTY; CO,CO,39.64389,-107.07722,,,,,,0,,,,stream,,GP
colgbyco,COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),CO,40.14389,-106.13306,,,,,,0,,,,stream,,GP
colgleco,COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,CO,39.555,-107.33694,,,,,,0,,,,stream,,GP
colkreco,COLORADO RIVER NEAR KREMMLING; CO (CKMC),CO,40.03667,-106.43945,,,,,,0,,,,stream,,GP
colmbnco,COLUMBINE; CO,CO,40.4,-106.61667,9165,,,,,0,,,,snotel,,GP
colngbco,COLORADO RIVER NEAR GRANBY RESERVOIR; CO,CO,40.12083,-105.9,,,,,,0,,,,stream,,GP
coloradoplusgreenplussanjuantemp,COLORADO PLUS GREEN PLUS SAN JUAN (TEMP),UT,37.1472,-109.8644,0,US/Mountain,,,,0,,,,stream,,UC
coloradoriveraboveimperialdam,Colorado River above Imperial Dam,CA,32.8836,-114.4667,0,US/Pacific,,,,0,,,,stream,,LC
coloradoriveraboveimperialdamibwcsalinitysite,Colorado River above Imperial Dam -- IBWC Salinity Site,CA,32.8836,-114.4667,0,US/Pacific,,,,0,,,,stream,,YAO
coloradoriveraboveimperialdamusbrsalinitysite,Colorado River above Imperial Dam -- USBR Salinity Site,CA,32.8836,-114.4667,0,US/Pacific,,,,0,,,,stream,,YAO
coloradoriveratglenwoodsprings,COLORADO RIVER AT GLENWOOD SPRINGS; CO.,CO,39.55,-107.3203,5720.71,US/Mountain,,,,0,,,,stream,,UC
coloradoriveratleesferry,Colorado River at Lees Ferry,AZ,36.8647,-111.5875,3125.06,US/Mountain,,,,0,,,,stream,,UC
coloradoriveratnortherninternationalboundaryibwcsalinitysite,Colorado River at Northern International Boundary -- IBWC Salinity Site,AZ,32.7189,-114.7183,106.5,US/Mountain,,,,0,,,,stream,,YAO
coloradoriveratnortherninternationalboundaryusbrsalinitysite,Colorado River at Northern International Boundary -- USBR Salinity Site,AZ,32.7189,-114.7183,106.5,US/Mountain,,,,0,,,,stream,,YAO
coloradoriveratyumagageusbrsalinitysite,Colorado River at Yuma Gage -- USBR Salinity Site,AZ,32.7319,-114.6325,117.99,US/Mountain,,,,0,,,,stream,,YAO
coloradoriveratyumausgsoldyumagagesite,Colorado River at Yuma - USGS (Old Yuma Gage Site),AZ,32.7292,-114.6208,,US/Mountain,,,,0,,,,stream,,YAO
coloradoriverbelowdavisdam,Colorado River below Davis Dam,AZ,35.1914,-114.5714,,US/Mountain,,,,0,,,,stream,,LC
coloradoriverbelowglencanyondam,COLORADO RIVER BELOW GLEN CANYON DAM,AZ,36.1014,-112.0856,,US/Mountain,,,,0,,,,stream,,UC
coloradoriverbelowhooverdam,Colorado River below Hoover Dam (USGS),NV,36.0144,-114.7381,,US/Pacific,,,,0,,,,stream,,LC
coloradoriverbelowlagunadam,Colorado River below Laguna Dam,AZ,32.8122,-114.5142,,US/Mountain,,,,0,,,,stream,,LC
coloradoriverbelowyumamaincanalwastewayusgs,Colorado River below Yuma Main Canal Wasteway - Yuma Gage - USGS,AZ,32.7317,-114.6319,101.99,US/Mountain,,,,0,,,,stream,,LC
coloradoriverblgrandvalleycanalnrpalisade,COLORADO RIVER BL GRAND VALLEY CANAL NR PALISADE,CO,39.0994,-108.3575,,US/Mountain,,,,0,,,,stream,,UC
coloradoriverindianreservationaz,Colorado River Indian Reservation; Arizona,AZ,34.18,-114.28,,US/Mountain,,,,0,,,,diversion,,LC
coloradoriverindianreservationca,Colorado River Indian Reservation; California,CA,34.8,-114.5,,US/Pacific,,,,0,,,,diversion,,LC
coloradorivernearcameo,COLORADO RIVER NEAR CAMEO; CO.,CO,39.2389,-108.2667,4813.73,US/Mountain,,,,0,,,,stream,,UC
coloradorivernearcisco,COLORADO RIVER NEAR CISCO; UT,UT,38.8106,-109.2935,4090,US/Mountain,,,,0,,,,stream,,UC
coloradorivernearcoloradoutahstateline,COLORADO RIVER NEAR COLORADO-UTAH STATE LINE,CO,39.1328,-109.0264,4325,US/Mountain,,,,0,,,,stream,,UC
coloradoriverneargrandcanyon,Colorado River near Grand Canyon; AZ,AZ,36.1014,-112.0856,2444.4,US/Mountain,,,,0,,,,stream,,LC
colpalco,COLORADO RIVER NEAR PALISADE; COLORADO (CGVC),CO,39.09944,-108.3575,,,,,,0,,,,stream,,GP
columbinepassswe,COLUMBINE PASS,CO,38.4167,-108.3833,9400,US/Mountain,,,,0,,,,snotel,,UC
columbineswe,COLUMBINE,CO,40.4,-106.6,9160,US/Mountain,,,,0,,,,snotel,,UC
columbusbasinswe,COLUMBUS BASIN,CO,37.4333,-108.0167,10785,US/Mountain,,,,0,,,,snotel,,UC
colutaco,COLORADO RIVER NEAR COLORADO-UTAH STATE LINE (CCUC),CO,39.13277,-109.02639,,,,,,0,,,,stream,,GP
comt,CONRAD MONTANA WEATHER STATION,MT,48.17278,-111.84722,3520,,,,,0,,,,agrimet,,GP
cone,COURTLAND CANAL; STATE LINE; NEBRASKA,NE,40.00306,-98.13278,,,,,,0,,,,canal,,GP
conejosriverbelowplatororeservoir,CONEJOS RIVER BELOW PLATORO RESERVOIR,CO,37.355,-106.5436,,US/Mountain,,,,0,,,,stream,,UC
conejosrivernearmogote,CONEJOS RIVER NEAR MOGOTE,CO,37.0539,-106.1869,,US/Mountain,,,,0,,,,stream,,UC
coplndco,COPELAND; CO,CO,40.2,-105.56667,8550,,,,,0,,,,snotel,,GP
coppermountainswe,COPPER MOUNTAIN,CO,39.4833,-106.1667,10500,US/Mountain,,,,0,,,,snotel,,UC
costillacreekabovecostilladam,COSTILLA CREEK ABOVE COSTILLA DAM; NM,NM,36.8978,-105.2559,,US/Mountain,,,,0,,,,stream,,UC
costillacreekbelowcostilladam,COSTILLA CREEK BELOW COSTILLA DAM; NM,NM,36.8739,-105.2809,,US/Mountain,,,,0,,,,stream,,UC
costillacreeknearcostilla,COSTILLA CREEK NEAR COSTILLA; NM,NM,36.9669,-105.508,,US/Mountain,,,,0,,,,stream,,UC
costillacreekneargarcia,COSTILLA CREEK NEAR GARCIA; CO,NM,36.9892,-105.5329,,US/Mountain,,,,0,,,,stream,,UC
cosw,COLD SPRINGS; WYOMING,WY,43.26667,-109.45,9630,,,,,0,,,,snotel,,GP
cottonwoodwashnrblandingutah,COTTONWOOD WASH NR BLANDING UTAH,UT,37.5606,-109.5781,5137.73,US/Mountain,,,,0,,,,stream,,UC
covm,Corvallis; Montana AgriMet Weather Station,MT,46.33333,-114.08333,1096.37,US/Mountain,4/1/1984,,m,0,agrimet_map,,,agrimet,pnro,PN
cowcreeknearridgwayreservoir,COW CREEK NEAR RIDGWAY RERSERVOIR,CO,38.245,-107.7511,6692,US/Mountain,,,,0,,,,stream,,UC
cpcm,COPPER CAMP; MONTANA,MT,47.08333,-112.73333,6950,,,,,0,,,,snotel,,GP
cpkw,CLOUD PEAK RESERVOIR; WYOMING,WY,44.4,-107.06667,9860,,,,,0,,,,snotel,,GP
cpmc,COPPER MOUNTAIN; COLORADO,CO,39.48333,-106.16666,10500,,,,,0,,,,snotel,,GP
cratdiamondcreek,Colorado River above Diamond Creek near Peach Spring; AZ,AZ,35.7736,-113.3628,,US/Mountain,,,,0,,,,stream,,LC
crawford,CRAWFORD RESERVOIR; COLORADO,CO,38.6914,-107.6056,6553,US/Mountain,,,,0,,,,reservoir,,UC
crbi,CRAB CREEK; IDAHO,ID,44.41667,-112,6860,,,,,0,,,,snotel,,GP
crbt,CANADIAN RIVER NEAR AMARILLO (HWY 87 & 287); TEXAS,TX,35.47028,-101.87917,,,,,,0,,,,stream,,GP
cred,CHEYENNE RIVER AT EDGEMONT; SOUTH DAKOTA,SD,43.30555,-103.82056,,,,,,0,,,,stream,,GP
crirmaincanal,CRIR Main Canal,AZ,34.1678,-114.2758,,US/Mountain,,,,0,,,,diversion,,LC
crnu,UCC - Corinne; Utah Weather Station,UT,41.51915,-112.17395,1291.7424,US/Mountain,,,m,0,agrimet_map,,,agrimet,ucc,PN
croshoswe,CROSHO,CO,40.1667,-107.05,9100,US/Mountain,,,,0,,,,snotel,,UC
crow,CROW CREEK; WYOMING,WY,41.23333,-105.38333,8330,,,,,0,,,,snotel,,GP
crrm,CARROT BASIN; MONTANA,MT,44.96667,-111.28333,7000,,,,,0,,,,snotel,,GP
crsm,Creston; Montana AgriMet Weather Station,MT,48.1875,-114.12777,899.16,US/Mountain,4/1/1988,,m,0,agrimet_map,,,agrimet,pnro,PN
crvo,Corvallis; Oregon AgriMet Weather Station,OR,44.63416,-123.19,70.1,US/Pacific,2/1/1990,,m,0,agrimet_map,,,agrimet,pnro,PN
crym,CRYSTAL LAKE; MONTANA,MT,46.8,-109.5,6050,,,,,0,,,,snotel,,GP
crystal,CRYSTAL RESERVOIR,CO,38.3038,-107.3725,6755,US/Mountain,,,,0,,,,reservoir,,UC
crystalplant,CRYSTAL POWER PLANT,CO,38.510589,-107.624709,,US/Mountain,,,,0,,,,powerplant,,UC
csdu,Castle Dale; Utah Weather Station,UT,39.220131,-111.07003,1798,US/Mountain,12/1/2014,,m,0,agrimet_map,,,agrimet,pnro,PN
csvu,Castle Valley; Utah AgriMet Weather Station,UT,38.648302,-109.398967,1429,US/Mountain,3/11/2015,,m,0,agrimet_map,,,agrimet,pnro,PN
culebra2swe,CULEBRA #2,CO,37.2167,-105.2,10500,US/Mountain,,,,0,,,,snotel,,UC
cumbrestrestleswe,CUMBRES TRESTLE,CO,37.0167,-106.45,10020,US/Mountain,,,,0,,,,snotel,,UC
cune,CULBERTSON CANAL; MILE 0.53; NE,NE,40.35917,-101.09306,,,,,,0,,,,canal,,GP
curecanticreeknearsapinero,CURECANTI CREEK NEAR SAPINERO; CO,CO,38.4878,-107.4144,7867.43,US/Mountain,,,,0,,,,stream,,UC
currantcreek,CURRANT CREEK RESERVOIR; UTAH,UT,40.1201,-110.5425,7678,US/Mountain,,,,0,,,,reservoir,,UC
currantcreeknearfruitland,CURRANT CREEK NEAR FRUITLAND,UT,40.2003,-110.9069,,US/Mountain,,,,0,,,,stream,,UC
currantcreekswe,CURRANT CREEK,UT,40.3667,-111.1,8000,US/Mountain,,,,0,,,,snotel,,UC
cvan,DRI - Carson Valley; Nevada Weather Station,NV,38.992778,-119.803889,1425.5496,US/Pacific,8/10/2010,,m,0,agrimet_map,,,agrimet,dri,PN
cxne,CULBERTSON EXTENSION CANAL; NEBRASKA,NE,40.30555,-100.85611,,,,,,0,,,,canal,,GP
dallascreeknearridgeway,DALLAS CREEK NEAR RIDGEWAY; CO,CO,38.1778,-107.7578,6980,US/Mountain,,,,0,,,,stream,,UC
dane,DAVIS CREEK DAM; NEBRASKA,NE,41.40472,-98.70777,,,,,,0,,,,reservoir,NKAO,GP
danielsstrawberryswe,DANIELS-STRAWBERRY,UT,40.3,-111.25,8000,US/Mountain,,,,0,,,,snotel,,UC
darkcanyonatcarlsbad,DARK CANYON AT CARLSBAD; NM,NM,32.4067,-104.2261,,US/Mountain,,,,0,,,,stream,,UC
daviesditch,DAVIES DITCH; COLORADO,CO,39.6269,-107.7569,,US/Mountain,,,,0,,,,diversion,,UC
dcabne,MIRDAN CANAL INLET TO DAVIS CREEK DAM; NEBRASKA,NE,41.44639,-98.79166,,,,,,0,,,,canal,,GP
dcby,DINWOODY CREEK ABOVE LAKES; NEAR BURRIS; WY,WY,43.34555,-109.40945,,,,,,0,,,,stream,,GP
dccy,DRY CREEK CANAL NEAR BURRIS; WYOMING,WY,43.34306,-109.29111,,,,,,0,,,,canal,,GP
ddmlc,Lake Mohave,AZ,35.2042,-114.5858,,US/Mountain,,,,0,,,,reservoir,,LC
ddmm,DEADMAN CREEK; MONTANA,MT,46.8,-110.68333,6450,,,,,0,,,,snotel,,GP
dedmnhco,DEAD MAN HILL; CO,CO,40.8,-105.75,10220,,,,,0,,,,snotel,,GP
deercreek,DEER CREEK RESERVOIR; UTAH,UT,40.24,-111.32,5417,US/Mountain,,,,0,,,,reservoir,,UC
deercreekdiv,DEER CREEK RESERVOIR DIVERSIONS TO SALT LAKE AQUEDUCT,UT,40.16587,-111.53152,,US/Mountain,,,,0,,,,diversion,,UC
defo,Dee Flat; Oregon AgriMet Weather Station,OR,45.58638,-121.64055,350.52,US/Pacific,11/1/1988,,m,0,agrimet_map,,,agrimet,pnro,PN
denazinwashnrbistitradingpost,DE-NA-ZIN WASH NR BISTI TRADING POST ; NM,NM,36.2308,-108.1992,0,US/Mountain,,,,0,,,,stream,,UC
deni,Dworshak - Dent Acres; Idaho AgriMet Weather Station,ID,46.62333,-116.22055,499.87,US/Mountain,4/19/2002,,m,0,agrimet_map,,,agrimet,pnro,PN
deseretpeakswe,DESERET PEAK,UT,40.4667,-112.6167,9250,US/Mountain,,,,0,,,,snotel,,UC
desertlawnmemorial,Desert Lawn Memorial,AZ,32.88,-114.46,,US/Mountain,,,,0,,,,diversion,,LC
dfr,DEERFIELD RESERVOIR; SOUTH DAKOTA,SD,44.02806,-103.78584,,,,,,0,,,,reservoir,DKAO,GP
dfrt,DRY FRIO RIVER NR REAGAN WELLS; TEXAS,TX,29.50444,-99.78111,,,,,,0,,,,stream,,GP
dhlm,DARKHORSE LAKE; MONTANA,MT,45.16667,-113.58334,8700,,,,,0,,,,snotel,,GP
dillonco,DILLON 1E; COLORADO (CLIMATOLOGY),CO,39.62472,-106.0325,9065,,,,,0,,,,weather,,GP
dillonreservoir,DILLON RESERVOIR,CO,39.37,-106.04,9017,US/Mountain,,,,0,,,,reservoir,,UC
dillscampswe,DILL'S CAMP,UT,39.0333,-111.4667,9200,US/Mountain,,,,0,,,,snotel,,UC
diltunco,DILLIE TUNNEL AT THOMPSON RIVER NR DRAKE; CO,CO,40.41945,-105.24583,,,,,,0,,,,diversion,,GP
dividepeakswe,DIVIDE PEAK,WY,41.3,-107.1667,8860,US/Mountain,,,,0,,,,snotel,,UC
divm,DIVIDE; MONTANA,MT,44.8,-112.05,7800,,,,,0,,,,snotel,,GP
dlnm,DILLON MONTANA WEATHER STATION,MT,45.33333,-112.50916,5000,,,,,0,,,,agrimet,,GP
dmlw,DOME LAKE; WYOMING,WY,44.56667,-107.3,8880,,,,,0,,,,snotel,,GP
dodm,DODSON NORTH CANAL; MT,MT,48.41195,-108.3075,,,,,,0,,,,stream,,GP
dodnthmt,DODSON NORTH MAIN DIVERSION,MT,48.37972,-108.17083,,,,,,0,,,,canal,,GP
dodpmpmt,DODSON PUMP MAIN DIVERSION,MT,48.405,-108.22,,,,,,0,,,,canal,,GP
